date;municipality_id;municipality_name;municipality_population;dose_1;dose_2;dose_3;valid_certificates;valid_certificates_percent
2021-11-25T23:59:59+01:00;10101;Eisenstadt;14895;11272;10421;2917;10831;72.7156764
2021-11-25T23:59:59+01:00;10201;Rust;2000;1543;1426;377;1488;74.4
2021-11-25T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1883;1467;1388;457;1425;75.67711099
2021-11-25T23:59:59+01:00;10302;Donnerskirchen;1841;1448;1365;324;1404;76.2629006
2021-11-25T23:59:59+01:00;10303;Großhöflein;2122;1637;1537;470;1584;74.64655985
2021-11-25T23:59:59+01:00;10304;Hornstein;3176;2404;2251;743;2313;72.82745592
2021-11-25T23:59:59+01:00;10305;Klingenbach;1223;878;801;193;849;69.41946034
2021-11-25T23:59:59+01:00;10306;Leithaprodersdorf;1217;978;920;267;955;78.4716516
2021-11-25T23:59:59+01:00;10307;Mörbisch am See;2228;1760;1650;403;1706;76.57091562
2021-11-25T23:59:59+01:00;10308;Müllendorf;1384;1084;1020;332;1052;76.01156069
2021-11-25T23:59:59+01:00;10309;Neufeld an der Leitha;3587;2713;2469;696;2602;72.53972679
2021-11-25T23:59:59+01:00;10310;Oggau am Neusiedler See;1738;1417;1353;446;1389;79.91944764
2021-11-25T23:59:59+01:00;10311;Oslip;1271;1027;966;276;999;78.59952793
2021-11-25T23:59:59+01:00;10312;Purbach am Neusiedler See;2899;2280;2105;459;2208;76.16419455
2021-11-25T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2683;2134;1983;414;2074;77.30152814
2021-11-25T23:59:59+01:00;10314;Schützen am Gebirge;1417;1122;1028;303;1072;75.65278758
2021-11-25T23:59:59+01:00;10315;Siegendorf;3118;2331;2160;564;2250;72.16164208
2021-11-25T23:59:59+01:00;10316;Steinbrunn;2932;2204;2021;569;2123;72.40791269
2021-11-25T23:59:59+01:00;10317;Trausdorf an der Wulka;2067;1655;1559;486;1613;78.03580068
2021-11-25T23:59:59+01:00;10318;Wimpassing an der Leitha;1702;1193;1081;285;1136;66.74500588
2021-11-25T23:59:59+01:00;10319;Wulkaprodersdorf;1982;1482;1348;383;1423;71.79616549
2021-11-25T23:59:59+01:00;10320;Loretto;476;379;350;106;366;76.8907563
2021-11-25T23:59:59+01:00;10321;Stotzing;823;609;575;144;596;72.41798299
2021-11-25T23:59:59+01:00;10322;Zillingtal;991;731;684;179;708;71.44298688
2021-11-25T23:59:59+01:00;10323;Zagersdorf;1101;864;796;190;834;75.7493188
